id	deck	tags	front	frontKo	firstLine	hintTitle	memoryTip	subjectTip	minimum	flow	answer	final_rep
week5-shopping-problem-01	OPIc 05_문제해결	week5|shopping|problem|topic_shopping|type_problem|full|product|latest_rep|core|final_rep|priority_b	Tell me about a problem you had while shopping. What happened, and how did you solve it?	쇼핑 중 겪었던 문제와 해결 과정을 말해 주세요.	One day, I had a problem while shopping.	작은 티셔츠 교환하기	티셔츠가 작음 → 걱정 → 매장 방문 → 직원 도움 → 교환 → 교훈	상품 문제, 도움을 요청한 행동, 교환 결과와 배운 점을 말하기	"One day, I had a problem while shopping.
The T-shirt was too small.
Finally, I exchanged it."	문제 발생 → 걱정한 이유 → 매장으로 돌아감 → 직원 도움 → 교환 → 배운 점	"One day, I had a problem while shopping.
I bought a T-shirt, but it was too small.
I was worried because I really liked the design.
So I went back to the store and asked the staff for help.
The staff was kind and helped me exchange it.
Finally, I got the right size and felt relieved.
After that, I became more careful when buying clothes."	true
week6-home-description-01	OPIc 03_주제별답변	week6|home|description|topic_home|type_description|full|latest_rep|core|final_rep|priority_a	Tell me about your home. What is your home like?	집의 모습과 분위기에 대해 말해 주세요.	Well, I live in an apartment.	깨끗하고 아늑한 우리 집	아파트 → 집 분위기 → 방 → 퇴근 후 행동 → 휴식	집의 형태와 분위기, 방에서 하는 일과 좋아하는 이유를 말하기	"Well, I live in an apartment.
It is clean and cozy.
My room is small, but I like it."	집 소개 → 집의 특징 → 방 설명 → 퇴근 후 행동 → 느낌	"Well, I live in an apartment.
It is not too big, but it is clean and cozy.
There is a living room, a kitchen, and my room.
My room is small, but I like it.
In my case, I spend a lot of time in my room after work.
I usually watch YouTube or listen to music there.
It helps me relax after a long day.
So I like my home."	true
week6-room-activity-01	OPIc 03_주제별답변	week6|room|routine|topic_room|type_routine|full|latest_rep|practice	What do you usually do in your room?	방에서 보통 무엇을 하는지 말해 주세요.	I usually spend time in my room after work.	퇴근 후 방에서 쉬는 루틴	퇴근 후 방 → 유튜브 → 음악 → 누워서 휴식 → 기분 회복	방에서 하는 구체적인 행동과 그 행동이 주는 느낌을 말하기	"I usually spend time in my room after work.
I watch YouTube there.
It helps me relax."	방에서 시간 보냄 → 방의 느낌 → 유튜브와 음악 → 휴식 → 마무리	"I usually spend time in my room after work.
My room is small, but it is comfortable.
I usually watch YouTube in my room.
Sometimes, I listen to music.
When I feel tired after work, I just lie down and take a rest.
It is simple, but it makes me feel much better.
So I spend a lot of time in my room."	false
week6-neighborhood-description-01	OPIc 03_주제별답변	week6|neighborhood|description|topic_neighborhood|type_description|full|latest_rep|practice	Tell me about your neighborhood. What is around your home?	동네 분위기와 집 주변의 장소를 말해 주세요.	I live in a quiet neighborhood.	편리하고 조용한 동네	조용한 동네 → 주변 시설 → 카페와 공원 → 편의점 → 편안함	동네 분위기, 주변 장소와 그곳에서 하는 일을 함께 말하기	"I live in a quiet neighborhood.
There is a park near my home.
So I like living there."	동네 소개 → 주변 시설 → 자주 가는 장소 → 편리한 이유 → 느낌	"I live in a quiet neighborhood.
There are many useful places near my home.
There is a cafe, a convenience store, and a park.
I often go to the cafe with my friends.
Sometimes, I take a walk in the park.
The convenience store is close to my home, so it is convenient.
My neighborhood is comfortable, so I like living there."	false
week6-food-favorite-01	OPIc 03_주제별답변	week6|food|preference|topic_food|type_preference|full|latest_rep|practice	What is your favorite food? Why do you like it?	가장 좋아하는 음식과 좋아하는 이유를 말해 주세요.	Well, I like Korean food.	좋아하는 김치찌개	한식 → 김치찌개 → 맛 → 밥 → 피곤할 때 → 기분	좋아하는 음식, 맛, 먹는 방법과 좋아하는 이유를 말하기	"Well, I like Korean food.
My favorite food is kimchi stew.
It is spicy and delicious."	음식 종류 → 최애 음식 → 맛 → 함께 먹는 것 → 이유 → 마무리	"Well, I like Korean food.
My favorite food is kimchi stew.
It is spicy and delicious.
I usually eat it with rice.
To be honest, I like hot food when I feel tired.
It always makes me feel good.
So I really like kimchi stew."	false
week6-restaurant-experience-01	OPIc 03_주제별답변	week6|restaurant|experience|topic_restaurant|type_experience|full|latest_rep|core|final_rep|priority_a	Tell me about the last time you went to a restaurant. What did you eat?	마지막으로 식당에 갔던 경험과 먹은 음식을 말해 주세요.	Recently, I went to a Korean restaurant with my family.	가족과 한식당에 간 경험	가족과 식당 → 위치 → 분위기 → 음식 → 대화 → 느낌	누구와 갔는지, 무엇을 먹었고 어떻게 느꼈는지 말하기	"Recently, I went to a Korean restaurant with my family.
We ate kimchi stew and rice.
I had a great time."	식당 방문 → 위치와 분위기 → 음식 → 대화 → 감정 → 마무리	"Recently, I went to a Korean restaurant with my family.
The restaurant was near my home, and it was small but clean.
We ate kimchi stew and rice.
The food was spicy and delicious.
We talked a lot during dinner.
It was a simple dinner, but I really enjoyed it.
I felt happy because I spent time with my family.
I had a great time."	true
week6-shopping-experience-01	OPIc 03_주제별답변	week6|shopping|experience|topic_shopping|type_experience|full|latest_rep|practice	Tell me about your recent shopping experience. What did you buy?	최근 쇼핑 경험과 구입한 물건을 말해 주세요.	Recently, I went shopping with my friend.	친구와 쇼핑한 경험	친구와 쇼핑 → 쇼핑몰 → 산 물건 → 점심 → 느낌	누구와 어디에 갔는지, 무엇을 샀고 이후 무엇을 했는지 말하기	"Recently, I went shopping with my friend.
I bought a T-shirt.
I had a good time."	쇼핑 방문 → 장소 특징 → 산 물건 → 식사 → 느낌	"Recently, I went shopping with my friend.
We went to a big and clean shopping mall near my home.
I bought a T-shirt.
My friend bought shoes.
After shopping, we ate lunch together.
It was simple, but I really enjoyed it.
I had a good time."	false
week6-exercise-habit-01	OPIc 03_주제별답변	week6|exercise|routine|topic_exercise|type_routine|full|latest_rep|core|final_rep|priority_b	Do you exercise? What do you usually do to stay healthy?	운동 여부와 건강을 위해 하는 일을 말해 주세요.	To be honest, I don't exercise a lot.	가볍게 산책하는 운동 습관	운동 많이 안 함 → 산책 → 집 근처 → 쉬움 → 건강과 스트레스	운동 빈도, 구체적인 활동과 건강에 도움이 되는 이유를 말하기	"To be honest, I don't exercise a lot.
But I try to take a walk.
It helps me feel healthy."	운동 빈도 → 산책 → 장소 → 쉬운 이유 → 효과 → 마무리	"To be honest, I don't exercise a lot.
But I try to take a walk when I have time.
I usually walk near a small park by my home.
Walking is simple and easy, so I can do it often.
It helps me feel healthy.
It also helps me relieve stress after work.
So I like walking."	true
week6-walking-experience-01	OPIc 03_주제별답변	week6|walking|experience|topic_walking|type_experience|full|latest_rep|practice	Tell me about the last time you took a walk. Where did you go?	마지막으로 산책한 경험과 간 장소를 말해 주세요.	Recently, I took a walk in the park near my home.	퇴근 후 공원 산책	공원 산책 → 혼자 → 날씨 → 음악 → 30분 → 기분 회복	언제 어디서 산책했고 무엇을 하며 어떤 느낌이었는지 말하기	"Recently, I took a walk near my home.
The weather was nice.
I felt much better."	산책 장소 → 시간과 동행 → 날씨 → 하면서 한 일 → 느낌	"Recently, I took a walk in the park near my home.
I went there alone after work.
The weather was nice.
I listened to music while walking.
The park was quiet and peaceful.
I walked for about thirty minutes.
It made me feel much better, and I had a good time."	false
week6-health-habit-01	OPIc 03_주제별답변	week6|health|routine|topic_health|type_routine|full|latest_rep|practice	What do you do to stay healthy?	건강을 유지하기 위해 무엇을 하는지 말해 주세요.	I try to stay healthy in simple ways.	물·산책·수면 건강 습관	간단한 습관 → 물 → 산책 → 수면 → 다음 날 컨디션 → 유지	건강을 위해 하는 행동을 두 가지 이상 말하고 효과를 설명하기	"I try to stay healthy in simple ways.
I drink water and take walks.
I also try to sleep well."	건강 관리 소개 → 물 → 산책 → 수면 → 효과 → 습관 유지	"I try to stay healthy in simple ways.
I drink water often.
I try to take a walk when I have time.
I also try to sleep well.
In my case, sleeping well is very important.
When I sleep well, I feel better the next day.
These habits help me a lot, so I try to keep them."	false
